Landingpage,Sitzungen,Neue Nutzer
/cities/79541-loerrach,440,396
/ferien/d/stadt/freiberg,440,349
/ferien/d/stadt/saarlouis,440,341
/ferien/d/schule/88131-freie-schule-lindau,437,377
/cities/26384-wilhelmshaven,436,328
/cities/73035-goeppingen,436,387
/ferien/d/schule/33106-gesamtschule-paderborn-elsen,435,357
/ferien/d/schule/55283-carl-zuckmayer-realschule-plus,434,266
/ferien/d/stadt/ansbach,434,353
/cities/21682-stade,433,305
/ferien/d/schule/73207-gymnasium-plochingen,432,358
/ferien/d/stadt/hof,432,355
/ferien/d/stadt/speicher,431,390
/ferien/d/stadt/sankt-augustin,428,326
/federal_states/rheinland-pfalz,427,388
/ferien/d/schule/73732-schelztor-gymnasium-esslingen,427,374
/ferien/d/stadt/sigmaringen,427,355
/ferien/d/stadt/neunkirchen-saar,426,308
/ferien/d/stadt/sangerhausen,426,346
/ferien/d/stadt/garbsen,425,328
/ferien/d/schule/17036-regionale-schule-am-lindetal-neubrandenburg,423,278
/ferien/d/stadt/troisdorf,423,334
/cities/69115-heidelberg,421,379
/ferien/d/schule/81373-private-deutsch-franzoesische-schule-muenchen-lycee-francais-jean-re,420,383
/ferien/d/stadt/seeon-seebruck,418,418
/ferien/d/schule/99425-thuringia-international-school,417,350
/ferien/d/stadt/bruehl,417,359
/ferien/d/stadt/guenzburg,416,343
/ferien/d/stadt/jestetten,416,332
/ferien/d/schule/74889-kraichgau-realschule-sinsheim,414,353
/ferien/land/d,414,53
/ferien/d/schule/73312-michelberg-gymnasium,413,325
/ferien/d/schule/14052-moser-schule-schweizer-gymnasium,412,315
/ferien/d/stadt/immenstadt-im-allgaeu,412,363
/ferien/d/stadt/kleve,412,318
/ferien/d/stadt/ostfildern,412,356
/ferien/d/schule/65199-grundschule-sauerland,410,350
/ferien/d/stadt/ingelheim-am-rhein,408,323
/ferien/d/stadt/juist,408,368
/ferien/d/schule/21682-igs-stade,406,322
/ferien/d/stadt/northeim,406,308
/ferien/d/schule/10407-aucoteam-gmbh,405,145
/ferien/d/stadt/luenen,405,321
/ferien/d/stadt/koethen,404,271
/ferien/d/stadt/falkensee,403,315
/ferien/d/stadt/oranienburg,403,306
/ferien/d/schule/67071-georgens-schule,402,114
/ferien/d/schule/10969-campus-berufsbildung-e-v,401,318
/ferien/d/schule/28327-berufsbildende-schule-fuer-einzelhandel-und-logistik,401,358
/ferien/d/schule/30173-b-i-b-international-college-in-freier-traegerschaft,401,327
/cities/69117-heidelberg,400,353
/ferien/d/stadt/bad-homburg-vor-der-hoehe,400,331
/ferien/d/stadt/bad-neuenahr-ahrweiler,399,283
/bridge_days/federal_states/brandenburg/2020-01-01/2020-12-31/1,398,349
/ferien/d/stadt/homburg,398,312
/bridge_days/federal_states/sachsen/2020-01-01/2020-12-31/2,397,364
/cities/27572-bremerhaven,397,316
/ferien/d/schule/52525-ghs-heinsberg-i,397,258
/ferien/d/stadt/brunnen,397,366
